instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr,is_holiday,is_weekday
1,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,0.0,Weekday,holiday
2,2011-01-01,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1.0,Weekday,holiday
3,2011-01-01,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2.0,Weekday,holiday
4,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,3.0,Weekday,holiday
5,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,4.0,Weekday,holiday
6,2011-01-01,1,0,1,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,5.0,Weekday,holiday
7,2011-01-01,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,6.0,Weekday,holiday
8,2011-01-01,1,0,1,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,7.0,Weekday,holiday
9,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,8.0,Weekday,holiday
10,2011-01-01,1,0,1,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,9.0,Weekday,holiday
11,2011-01-01,1,0,1,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,10.0,Weekday,holiday
12,2011-01-01,1,0,1,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,11.0,Weekday,holiday
13,2011-01-01,1,0,1,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,12.0,Weekday,holiday
14,2011-01-01,1,0,1,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,13.0,Weekday,holiday
15,2011-01-01,1,0,1,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,14.0,Weekday,holiday
16,2011-01-01,1,0,1,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,15.0,Weekday,holiday
17,2011-01-01,1,0,1,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,16.0,Weekday,holiday
18,2011-01-01,1,0,1,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,17.0,Weekday,holiday
19,2011-01-01,1,0,1,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,18.0,Weekday,holiday
20,2011-01-01,1,0,1,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,19.0,Weekday,holiday
21,2011-01-01,1,0,1,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,20.0,Weekday,holiday
22,2011-01-01,1,0,1,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,21.0,Weekday,holiday
23,2011-01-01,1,0,1,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,22.0,Weekday,holiday
24,2011-01-01,1,0,1,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,23.0,Weekday,holiday
